source_node,target_node,edge_type
CID_393,PMID_750,DRUG_MENTIONED_IN_LITERATURE
CID_395,PMID_749,DRUG_MENTIONED_IN_LITERATURE
CID_397,PMID_751,DRUG_MENTIONED_IN_LITERATURE
CID_398,PMID_752,DRUG_MENTIONED_IN_LITERATURE
CID_399,PMID_753,DRUG_MENTIONED_IN_LITERATURE
CID_400,PMID_783,DRUG_MENTIONED_IN_LITERATURE
CID_401,PMID_784,DRUG_MENTIONED_IN_LITERATURE
CID_402,PMID_785,DRUG_MENTIONED_IN_LITERATURE
CID_403,PMID_786,DRUG_MENTIONED_IN_LITERATURE
CID_404,PMID_789,DRUG_MENTIONED_IN_LITERATURE
CID_405,PMID_792,DRUG_MENTIONED_IN_LITERATURE
CID_406,PMID_795,DRUG_MENTIONED_IN_LITERATURE
CID_407,PMID_796,DRUG_MENTIONED_IN_LITERATURE
CID_408,PMID_800,DRUG_MENTIONED_IN_LITERATURE
CID_409,PMID_801,DRUG_MENTIONED_IN_LITERATURE
CID_410,PMID_807,DRUG_MENTIONED_IN_LITERATURE
CID_411,PMID_814,DRUG_MENTIONED_IN_LITERATURE
CID_412,PMID_815,DRUG_MENTIONED_IN_LITERATURE
CID_413,PMID_825,DRUG_MENTIONED_IN_LITERATURE
CID_414,PMID_821,DRUG_MENTIONED_IN_LITERATURE
CID_415,PMID_822,DRUG_MENTIONED_IN_LITERATURE
CID_416,PMID_823,DRUG_MENTIONED_IN_LITERATURE
CID_417,PMID_827,DRUG_MENTIONED_IN_LITERATURE
CID_418,PMID_820,DRUG_MENTIONED_IN_LITERATURE
CID_419,PMID_830,DRUG_MENTIONED_IN_LITERATURE
CID_420,PMID_831,DRUG_MENTIONED_IN_LITERATURE
CID_421,PMID_829,DRUG_MENTIONED_IN_LITERATURE
CID_422,PMID_832,DRUG_MENTIONED_IN_LITERATURE
CID_423,PMID_834,DRUG_MENTIONED_IN_LITERATURE
CID_424,PMID_839,DRUG_MENTIONED_IN_LITERATURE
CID_425,PMID_833,DRUG_MENTIONED_IN_LITERATURE
CID_426,PMID_840,DRUG_MENTIONED_IN_LITERATURE
CID_427,PMID_835,DRUG_MENTIONED_IN_LITERATURE
CID_428,PMID_836,DRUG_MENTIONED_IN_LITERATURE
CID_429,PMID_841,DRUG_MENTIONED_IN_LITERATURE
CID_430,PMID_842,DRUG_MENTIONED_IN_LITERATURE
CID_431,PMID_843,DRUG_MENTIONED_IN_LITERATURE
CID_432,PMID_848,DRUG_MENTIONED_IN_LITERATURE
CID_433,PMID_856,DRUG_MENTIONED_IN_LITERATURE
CID_434,PMID_858,DRUG_MENTIONED_IN_LITERATURE
CID_435,PMID_859,DRUG_MENTIONED_IN_LITERATURE
CID_436,PMID_860,DRUG_MENTIONED_IN_LITERATURE
