Enzyme,Action,Target_Organ,Next_Step
AQP7,Inhibit,Liver,"Liver Cirrhosis, Experimental"
AR,Inhibit,Brain,"Bulbospinal neuronopathy, X-linked recessive"
AR,Inhibit,Liver,"Carcinoma, Hepatocellular"
AREG,Inhibit,Heart,Myocardial Ischemia
ARG1,Inhibit,Liver,Chemical and Drug Induced Liver Injury
ARG2,Inhibit,Heart,Heart Failure
ARHGAP11A,Inhibit,Liver,"Carcinoma, Hepatocellular"
ARHGAP30,Inhibit,Liver,"Liver Cirrhosis, Experimental"
ARHGAP31,Inhibit,Liver,Adams Oliver syndrome
ARHGAP9,Inhibit,Liver,"Liver Cirrhosis, Experimental"
ARHGDIB,Inhibit,Liver,"Liver Cirrhosis, Experimental"
ARHGEF39,Inhibit,Liver,"Carcinoma, Hepatocellular"
ARID1A,Inhibit,Liver,"Carcinoma, Hepatocellular"
ARID1A,Inhibit,Brain,Neuroblastoma
ARID1B,Inhibit,Liver,"Carcinoma, Hepatocellular"
ARID1B,Inhibit,Brain,Neuroblastoma
ARID1B,Inhibit,Brain,Neurodevelopmental Disorders
ARID2,Inhibit,Liver,"Carcinoma, Hepatocellular"
ARID3A,Inhibit,Liver,"Carcinoma, Hepatocellular"
ARL11,Inhibit,Liver,"Liver Cirrhosis, Experimental"
ARL8A,Inhibit,Liver,"Liver Cirrhosis, Experimental"
ARMCX1,Inhibit,Liver,"Liver Cirrhosis, Experimental"
ARNT,Inhibit,Liver,Chemical and Drug Induced Liver Injury
ARNT,Inhibit,Liver,Liver Cirrhosis
ARPC1B,Inhibit,Liver,"Liver Cirrhosis, Experimental"
ARRB1,Inhibit,Liver,Liver Cirrhosis
ARRB2,Inhibit,Liver,Liver Cirrhosis
ARRB2,Inhibit,Liver,"Liver Cirrhosis, Experimental"
ASAH1,Inhibit,Liver,"Liver Cirrhosis, Experimental"
ASAH2,Inhibit,Liver,Liver Diseases
ASF1B,Inhibit,Liver,"Carcinoma, Hepatocellular"
ASH1L,Inhibit,Liver,Liver Neoplasms
ASH1L,Inhibit,Brain,Neurodevelopmental Disorders
ASIC1,Inhibit,Brain,Brain Injuries
ASIC1,Inhibit,Brain,Brain Ischemia
ASMT,Inhibit,Liver,Hepatolenticular Degeneration
ASNS,Inhibit,Liver,"Liver Cirrhosis, Experimental"
ASNS,Inhibit,Liver,Liver Neoplasms
ASPG,Inhibit,Liver,"Carcinoma, Hepatocellular"
ASPM,Inhibit,Liver,"Carcinoma, Hepatocellular"
ASPN,Inhibit,Liver,"Liver Cirrhosis, Experimental"
ASS1,Inhibit,Liver,Liver Diseases
ASS1,Inhibit,Liver,"Liver Failure, Acute"
ASTN1,Inhibit,Brain,Brain Injuries
ASXL3,Inhibit,Brain,Neurodevelopmental Disorders
ATF3,Inhibit,Heart,Cardiomyopathies
ATF3,Inhibit,Brain,"Infarction, Middle Cerebral Artery"
ATF3,Inhibit,Liver,"Liver Cirrhosis, Experimental"
ATF4,Inhibit,Liver,Fatty Liver
ATG5,Inhibit,Liver,Chemical and Drug Induced Liver Injury
ATG5,Inhibit,Liver,Hepatomegaly
ATG5,Inhibit,Liver,Liver Cirrhosis
ATG7,Inhibit,Liver,"Carcinoma, Hepatocellular"
ATG7,Inhibit,Liver,Chemical and Drug Induced Liver Injury
ATG7,Inhibit,Liver,Hepatomegaly
